CustomerID,Cluster
C0001,6
C0002,4
C0003,1
C0004,0
C0005,4
C0006,3
C0007,3
C0008,0
C0009,4
C0010,4
C0011,6
C0012,1
C0013,6
C0014,2
C0015,4
C0016,3
C0017,5
C0018,5
C0019,4
C0020,2
C0021,5
C0022,5
C0023,6
C0024,1
C0025,4
C0026,3
C0027,4
C0028,5
C0029,4
C0030,1
C0031,1
C0032,4
C0033,2
C0034,1
C0035,1
C0036,3
C0037,5
C0038,4
C0039,1
C0040,3
C0041,5
C0042,3
C0043,4
C0044,3
C0045,5
C0046,5
C0047,1
C0048,1
C0049,1
C0050,3
C0051,5
C0052,1
C0053,5
C0054,5
C0055,1
C0056,5
C0057,5
C0058,2
C0059,5
C0060,2
C0061,4
C0062,4
C0063,4
C0064,5
C0065,0
C0066,3
C0067,1
C0068,0
C0069,1
C0070,4
C0071,4
C0072,1
C0073,4
C0074,3
C0075,0
C0076,1
C0077,4
C0078,3
C0079,3
C0080,2
C0081,1
C0082,6
C0083,4
C0084,5
C0085,3
C0086,4
C0087,6
C0088,4
C0089,3
C0090,5
C0091,1
C0092,3
C0093,5
C0094,4
C0095,4
C0096,6
C0097,2
C0098,1
C0099,6
C0100,5
C0101,5
C0102,6
C0103,4
C0104,6
C0105,5
C0106,4
C0107,6
C0108,6
C0109,0
C0110,2
C0111,1
C0112,4
C0113,6
C0114,5
C0115,3
C0116,1
C0117,3
C0118,6
C0119,4
C0120,3
C0121,4
C0122,6
C0123,4
C0124,5
C0125,4
C0126,1
C0127,1
C0128,4
C0129,3
C0130,2
C0131,4
C0132,4
C0133,1
C0134,4
C0135,4
C0136,5
C0137,1
C0138,5
C0139,6
C0140,4
C0141,0
C0142,4
C0143,5
C0144,4
C0145,5
C0146,3
C0147,6
C0148,6
C0149,5
C0150,2
C0151,2
C0152,6
C0153,6
C0154,1
C0155,6
C0156,0
C0157,1
C0158,3
C0159,4
C0160,4
C0161,5
C0162,5
C0163,6
C0164,4
C0165,0
C0166,4
C0167,4
C0168,3
C0169,6
C0170,5
C0171,6
C0172,1
C0173,5
C0174,1
C0175,0
C0176,4
C0177,4
C0178,4
C0179,5
C0180,2
C0181,1
C0182,5
C0183,1
C0184,6
C0185,3
C0186,4
C0187,3
C0188,6
C0189,1
C0190,1
C0191,1
C0192,4
C0193,4
C0194,1
C0195,1
C0196,3
C0197,4
C0198,4
C0199,4
C0200,5
